step,loss,grad_norm,learning_rate,num_tokens,completions/mean_length,completions/min_length,completions/max_length,completions/clipped_ratio,completions/mean_terminated_length,completions/min_terminated_length,completions/max_terminated_length,rewards/reward_func/mean,rewards/reward_func/std,reward,reward_std,frac_reward_zero_std,kl,entropy,clip_ratio/low_mean,clip_ratio/low_min,clip_ratio/high_mean,clip_ratio/high_max,clip_ratio/region_mean,epoch
43,0.2629,0.743429958820343,1.163101604278075e-05,215647.0,171.25,129.75,232.75,0.1875,153.1666717529297,129.75,170.0,0.5,0.5386751294136047,0.5,0.5386751294136047,0.0,0.0016929689736571163,0.3807617761194706,0.0,0.0,0.0,0.0,0.0,0.02
44,0.0304,1.1347057819366455,1.1898395721925135e-05,220668.0,166.5625,108.0,227.25,0.25,139.91666793823242,108.0,182.75,0.375,0.39433756470680237,0.375,0.39433756470680237,0.25,0.002922205749200657,0.39587925374507904,0.0,0.0,0.0,0.0,0.0,0.02
45,0.2387,0.9924958944320679,1.2165775401069519e-05,225310.0,160.625,125.5,219.5,0.125,146.52083587646484,125.5,177.0,0.4375,0.5193375647068024,0.4375,0.5193375647068024,0.0,0.0030010583577677608,0.43356621265411377,0.0,0.0,0.0,0.0,0.0,0.02
46,0.0353,0.5438613295555115,1.2433155080213903e-05,230580.0,179.625,130.25,232.25,0.0625,175.22916793823242,130.25,223.25,0.4375,0.26933756470680237,0.4375,0.26933756470680237,0.5,0.0035427851835265756,0.40440521761775017,0.0,0.0,0.0,0.0,0.0,0.03
47,0.0005,0.5114670991897583,1.2700534759358291e-05,235756.0,192.25,113.5,256.0,0.375,155.7916717529297,113.5,184.5,0.125,0.25,0.125,0.25,0.5,0.0026952721527777612,0.395585760474205,0.0,0.0,0.0,0.0,0.0,0.03
48,-0.1064,0.6995601654052734,1.2967914438502673e-05,240081.0,128.0625,94.5,182.25,0.0,128.0625,94.5,182.25,0.875,0.14433756470680237,0.875,0.14433756470680237,0.75,0.004165753081906587,0.33090387284755707,0.0,0.0,0.0,0.0,0.0,0.03
49,0.137,0.5136974453926086,1.323529411764706e-05,244986.0,159.0625,116.25,218.5,0.125,145.16666793823242,116.25,177.0,0.75,0.39433756470680237,0.75,0.39433756470680237,0.25,0.009861256286967546,0.30117178335785866,0.0,0.0,0.0,0.0,0.0,0.03
50,-0.0115,0.5062701106071472,1.3502673796791445e-05,250291.0,174.8125,142.5,193.75,0.375,151.1875,142.5,162.25,0.375,0.25,0.375,0.25,0.5,0.003990583762060851,0.3350670859217644,0.0,0.0,0.0,0.0,0.0,0.03
51,-0.0103,0.4310259521007538,1.377005347593583e-05,255308.0,167.3125,120.5,217.25,0.125,164.75,120.5,216.0,0.5625,0.125,0.5625,0.125,0.75,0.005624668789096177,0.28385771065950394,0.0,0.0,0.0,0.0,0.0,0.03
52,-0.0656,0.8349957466125488,1.4037433155080215e-05,260531.0,178.9375,130.0,213.25,0.125,173.0625,130.0,209.75,0.5625,0.5193375647068024,0.5625,0.5193375647068024,0.0,0.005344424280337989,0.4123595729470253,0.0,0.0,0.0,0.0,0.0,0.03
53,0.1721,0.7158863544464111,1.4304812834224598e-05,265450.0,166.1875,135.75,193.5,0.125,157.6875,135.75,181.25,0.6875,0.375,0.6875,0.375,0.25,0.0070353863993659616,0.2607754170894623,0.0,0.0,0.0,0.0,0.0,0.03
54,-0.0336,0.6133511066436768,1.4572192513368984e-05,269373.0,116.1875,80.25,149.5,0.0,116.1875,80.25,149.5,0.875,0.25,0.875,0.25,0.5,0.008423658087849617,0.37196194380521774,0.0,0.0,0.0,0.0,0.0,0.03
55,-0.0049,0.005888137500733137,1.4839572192513372e-05,274386.0,161.3125,111.25,217.75,0.125,149.875,111.25,200.75,0.6875,0.125,0.6875,0.125,0.75,0.00702458992600441,0.3571440577507019,0.0,0.0,0.0,0.0,0.0,0.03
56,0.0452,0.0029253081884235144,1.5106951871657754e-05,280335.0,221.3125,179.25,256.0,0.625,135.25,115.25,154.75,0.125,0.14433756470680237,0.125,0.14433756470680237,0.75,0.005145174567587674,0.3445710763335228,0.0,0.0,0.0,0.0,0.0,0.03
57,-0.0333,0.8076484799385071,1.5374331550802142e-05,284954.0,159.6875,124.0,203.5,0.125,149.6666717529297,124.0,177.0,0.625,0.39433756470680237,0.625,0.39433756470680237,0.25,0.0076200272887945175,0.37540146708488464,0.0,0.0,0.0,0.0,0.0,0.03
58,0.057,0.5200030207633972,1.5641711229946524e-05,290213.0,178.6875,120.25,233.5,0.1875,159.875,120.25,193.5,0.4375,0.125,0.4375,0.125,0.75,0.00513279001461342,0.3624509796500206,0.0,0.0,0.0,0.0,0.0,0.03
59,0.0791,0.006775295361876488,1.590909090909091e-05,294895.0,160.875,109.25,219.75,0.0625,154.04166793823242,109.25,202.0,0.75,0.28867512941360474,0.75,0.28867512941360474,0.5,0.00901994458399713,0.3250964730978012,0.0,0.0,0.0,0.0,0.0,0.03
60,-0.0516,0.46416279673576355,1.6176470588235296e-05,299126.0,131.4375,80.75,175.0,0.0,131.4375,80.75,175.0,0.625,0.25,0.625,0.25,0.5,0.0075974572682753205,0.30550815537571907,0.0,0.0,0.0,0.0,0.0,0.03
61,-0.0773,0.9156848788261414,1.644385026737968e-05,303752.0,145.125,105.75,172.25,0.0,145.125,105.75,172.25,0.6875,0.41367512941360474,0.6875,0.41367512941360474,0.25,0.00835246592760086,0.29315653443336487,0.0,0.0,0.0,0.0,0.0,0.03
